author_name,author_id,author_distinct_topics,author_keyworks_count,rank,work_id,title,distinct_topics,refs_count,is_topic_keywork,categories
Cornelius Van Til,theo_ff69d567b651,109,10,1,work_175908b0d5ec,The Defense of the Faith,109,109,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Cornelius Van Til,theo_ff69d567b651,109,10,2,work_ee43657ddf33,An Introduction to Systematic Theology,77,77,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Cornelius Van Til,theo_ff69d567b651,109,10,3,work_8ca652ce3d0a,Christian Theistic Ethics,59,59,1,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Cornelius Van Til,theo_ff69d567b651,109,10,4,work_65822dd31a7d,Christian Apologetics,43,43,1,anthropology-&-doctrine-of-creation;bibliology;christology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Cornelius Van Til,theo_ff69d567b651,109,10,5,work_db2f5bc18aa0,Essays on Christian Education,39,39,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Geerhardus Vos,theo_1c0566e3d363,109,10,1,work_163d78b8375b,"""Reformed Dogmatics""",102,102,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Geerhardus Vos,theo_1c0566e3d363,109,10,2,work_5fa71d4d4646,Biblical Theology: Old and New Testaments,96,96,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Geerhardus Vos,theo_1c0566e3d363,109,10,3,work_fab8914e0855,Pauline Eschatology,59,59,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Geerhardus Vos,theo_1c0566e3d363,109,10,4,work_bc6e435f5670,The Pauline Eschatology,59,59,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Geerhardus Vos,theo_1c0566e3d363,109,10,5,work_8253fcf233a5,The Doctrine of the Covenant in Reformed Theology (article),41,41,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;soteriology;theology-proper
Vern Poythress,theo_d202f60f304c,109,10,1,work_5326b4e440bd,Symphonic Theology: The Validity of Multiple Perspectives in Theology (1987),106,106,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Vern Poythress,theo_d202f60f304c,109,10,2,work_a0ebd1069eb5,The Shadow of Christ in the Law of Moses (1991),85,85,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Vern Poythress,theo_d202f60f304c,109,10,3,work_4a61ad988c5f,In the Beginning Was the Word: Language—A God-Centered Approach (2009),51,51,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Vern Poythress,theo_d202f60f304c,109,10,4,work_0de801194a9c,Redeeming Science: A God-Centered Approach to the Place of Science and Human Understanding,44,44,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Vern Poythress,theo_d202f60f304c,109,10,5,work_ce0e52b069bd,Inerrancy and Worldview: Answering Modern Challenges to the Bible (2012),26,26,1,anthropology-&-doctrine-of-creation;bibliology;christology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology
John M. Frame,theo_ea6658b8fe68,109,9,1,work_b02c810a7acc,The Doctrine of the Christian Life (2008),89,89,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John M. Frame,theo_ea6658b8fe68,109,9,2,work_fb18c17c31c2,Systematic Theology (2013),83,83,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John M. Frame,theo_ea6658b8fe68,109,9,3,work_f4131a767289,The Doctrine of God (2002),78,78,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John M. Frame,theo_ea6658b8fe68,109,9,4,work_4e289a1093f1,Salvation Belongs to the Lord: An Introduction to Systematic Theology (2006),68,68,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John M. Frame,theo_ea6658b8fe68,109,9,5,work_954fec74c471,The Doctrine of the Word of God (2010),47,47,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Jürgen Moltmann,theo_09edae13e8c2,109,6,1,work_ced87bc47569,Experiences in Theology: Ways and Forms of Christian Theology (2000),88,88,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Jürgen Moltmann,theo_09edae13e8c2,109,6,2,work_7f7f5f320281,Theology of Hope (1964),87,87,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Jürgen Moltmann,theo_09edae13e8c2,109,6,3,work_9e54837b5589,The Crucified God (1973),74,74,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Jürgen Moltmann,theo_09edae13e8c2,109,6,4,work_2047a848deff,The Coming of God: Christian Eschatology (1995),60,60,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Jürgen Moltmann,theo_09edae13e8c2,109,6,5,work_3b70471912d9,God in Creation: An Ecological Doctrine of Creation (1985),51,51,0,anthropology-&-doctrine-of-creation;bibliology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;eschatology;pneumatology;soteriology;theology-proper
Charles Hodge,theo_991f5a107a5c,109,3,1,work_5a9a44780e1a,The Way of Life,88,88,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Charles Hodge,theo_991f5a107a5c,109,3,2,work_8a520d135987,Princeton Sermons,67,67,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Charles Hodge,theo_991f5a107a5c,109,3,3,work_6c740aa6d58d,Systematic Theology,43,43,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Charles Hodge,theo_991f5a107a5c,109,3,4,work_09cd193ca02c,Princeton Review articles (esp. on natural theology and revelation),42,42,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Charles Hodge,theo_991f5a107a5c,109,3,5,work_e538d5fd9c5f,Commentary on 1 Corinthians (notably on 1 Corinthians 15),28,28,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology
G.C. Berkouwer,theo_3fc45f8c5a0a,109,2,1,work_bf6b54447461,Studies in Dogmatics: Faith and Justification,54,54,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
G.C. Berkouwer,theo_3fc45f8c5a0a,109,2,2,work_096166e9f4af,Holy Scripture (Studies in Dogmatics),43,43,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
G.C. Berkouwer,theo_3fc45f8c5a0a,109,2,3,work_29cf70e63095,Studies in Dogmatics: Sin,41,41,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;ecclesiology-&-sacraments;pneumatology;soteriology;theology-proper
G.C. Berkouwer,theo_3fc45f8c5a0a,109,2,4,work_0561d0c44cd1,Studies in Dogmatics: The Work of Christ,31,31,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
G.C. Berkouwer,theo_3fc45f8c5a0a,109,2,5,work_da138f5071a3,Studies in Dogmatics (series),30,30,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Karl Barth,theo_576aa8dc749e,109,2,1,work_947f73b99bd1,"Church Dogmatics, especially volumes I/2, II/2, and IV/1–IV/2",109,109,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Karl Barth,theo_576aa8dc749e,109,2,2,work_3418d3dc4447,Evangelical Theology: An Introduction,48,48,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;pneumatology;soteriology;theology-proper
Karl Barth,theo_576aa8dc749e,109,2,3,work_9e6ef26b67f2,The Humanity of God,28,28,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;eschatology;pneumatology;soteriology;theology-proper
Karl Barth,theo_576aa8dc749e,109,2,4,work_d1982e5ab2b0,Dogmatics in Outline,24,24,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;ecclesiology-&-sacraments;eschatology;soteriology
Karl Barth,theo_576aa8dc749e,109,2,5,work_5d63a21f162b,The Word of God and the Word of Man,9,9,0,bibliology;christology;ecclesiology-&-sacraments
Abraham Kuyper,theo_bbaf9204ff14,109,1,1,work_3774cdfdf357,Encyclopaedie der Heilige Godgeleerdheid (Encyclopedia of Sacred Theology),98,98,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Abraham Kuyper,theo_bbaf9204ff14,109,1,2,work_d393c9804d39,Lectures on Calvinism,97,97,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Abraham Kuyper,theo_bbaf9204ff14,109,1,3,work_1c240f84eed8,De Gemeene Gratie (Common Grace),44,44,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;soteriology;theology-proper
Abraham Kuyper,theo_bbaf9204ff14,109,1,4,work_4617cce978f6,Pro Rege,40,40,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Abraham Kuyper,theo_bbaf9204ff14,109,1,5,work_480d929c80a7,Abraham Kuyper: A Centennial Reader (ed. Bratt),36,36,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Emil Brunner,theo_5ce5eb6d4e76,109,1,1,work_3351252c68e0,"Dogmatics, Vol. 1: The Christian Doctrine of God",107,107,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Emil Brunner,theo_5ce5eb6d4e76,109,1,2,work_74d2eb697c97,The Mediator: A Study of the Central Doctrine of the Christian Faith,95,95,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Emil Brunner,theo_5ce5eb6d4e76,109,1,3,work_1db23e332aef,The Divine-Human Encounter,71,71,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Emil Brunner,theo_5ce5eb6d4e76,109,1,4,work_6d42164bec7e,Truth as Encounter,70,70,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Emil Brunner,theo_5ce5eb6d4e76,109,1,5,work_fd0a7c6cec0d,Revelation and Reason,60,60,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Wolfhart Pannenberg,theo_fdb0163ae082,109,1,1,work_4e5317965912,Jesus—God and Man (1968),101,101,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Wolfhart Pannenberg,theo_fdb0163ae082,109,1,2,work_4333ea7fbd6b,"Revelation as History (edited volume, with key essays by Pannenberg)",77,77,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Wolfhart Pannenberg,theo_fdb0163ae082,109,1,3,work_a48d7a441798,"Basic Questions in Theology, Vol. 1–3",65,65,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;soteriology;theology-proper
Wolfhart Pannenberg,theo_fdb0163ae082,109,1,4,work_148741f15684,"Systematic Theology (3 vols., 1988–1993)",63,63,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Wolfhart Pannenberg,theo_fdb0163ae082,109,1,5,work_c502e5552065,Theology and the Kingdom of God (1969),57,57,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Albrecht Ritschl,theo_fd6d1af54939,109,0,1,work_5b0b73504be5,Justification and Reconciliation (Die christliche Lehre von der Rechtfertigung und Versöhnung),109,109,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Albrecht Ritschl,theo_fd6d1af54939,109,0,2,work_4567d2bb70be,Theology and Metaphysics (Theologie und Metaphysik),97,97,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Albrecht Ritschl,theo_fd6d1af54939,109,0,3,work_5a3e3cfb3cb9,Instruction in the Christian Religion,83,83,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Albrecht Ritschl,theo_fd6d1af54939,109,0,4,work_e54698b9e05b,A Critical History of the Christian Doctrine of Justification and Reconciliation,47,47,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Albrecht Ritschl,theo_fd6d1af54939,109,0,5,work_109de9828520,Albrecht Ritschl and the Problem of the Historical Jesus (secondary analysis),33,33,0,bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Augustine,theo_83f0d17280ee,109,0,1,work_fbaf4ac6e69b,De Civitate Dei (The City of God),101,101,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Augustine,theo_83f0d17280ee,109,0,2,work_5e114f3dbb1d,Confessiones (Confessions),86,86,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Augustine,theo_83f0d17280ee,109,0,3,work_27fed49291cd,"Enchiridion (Handbook on Faith, Hope, and Love)",66,66,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Augustine,theo_83f0d17280ee,109,0,4,work_9f96bf3164ff,Sermones (Sermons),48,48,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology
Augustine,theo_83f0d17280ee,109,0,5,work_be669f26000e,Letters and Sermons (selected),28,28,0,anthropology-&-doctrine-of-creation;bibliology;christology;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Francis Turretin,theo_4adfd8bebd91,109,0,1,work_e70f191cba09,"John W. Beardslee III, Reformed Dogmatics (secondary, for summary of Turretin’s views)",109,109,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Francis Turretin,theo_4adfd8bebd91,109,0,2,work_0c141fa18d74,Compendium Theologiae Didactico-Elencticae,48,48,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Francis Turretin,theo_4adfd8bebd91,109,0,3,work_87939a932451,"Willem J. van Asselt, ""Introduction to Reformed Scholasticism"" (secondary, for context)",44,44,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Francis Turretin,theo_4adfd8bebd91,109,0,4,work_edbe6f3b47c1,"Post-Reformation Reformed Dogmatics (R. Muller, secondary)",29,29,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Francis Turretin,theo_4adfd8bebd91,109,0,5,work_7e8c6d9325fa,Reformed Dogmatics (as referenced in secondary literature),21,21,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;pneumatology;soteriology;theology-proper
Friedrich Schleiermacher,theo_592b834e385e,109,0,1,work_ae05ba7bfa6a,Brief Outline of the Study of Theology,95,95,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Friedrich Schleiermacher,theo_592b834e385e,109,0,2,work_77d241198d0b,The Christian Faith (Der christliche Glaube),95,95,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Friedrich Schleiermacher,theo_592b834e385e,109,0,3,work_077965e26b31,On Religion: Speeches to Its Cultured Despisers,90,90,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Friedrich Schleiermacher,theo_592b834e385e,109,0,4,work_c65a87a01247,Christian Ethics,59,59,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Friedrich Schleiermacher,theo_592b834e385e,109,0,5,work_2472ea835f18,Friedrich Schleiermacher: Pioneer of Modern Theology (ed. Keith W. Clements),25,25,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-the-trinity;eschatology;pneumatology;soteriology;theology-proper
Herman Bavinck,theo_aff4ec250119,109,0,1,work_d461a99914ef,"Essays on Religion, Science, and Society",66,66,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Herman Bavinck,theo_aff4ec250119,109,0,2,work_2b8bf8455b2a,"Reformed Dogmatics, Volume 4: Holy Spirit, Church, and New Creation",64,64,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
Herman Bavinck,theo_aff4ec250119,109,0,3,work_0c957525d4a6,"Reformed Dogmatics, Volume 3: Sin and Salvation in Christ",53,53,0,anthropology-&-doctrine-of-creation;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;pneumatology;soteriology;theology-proper
Herman Bavinck,theo_aff4ec250119,109,0,4,work_ce4725dceba5,"Reformed Dogmatics, Volume 2: God and Creation",52,52,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;pneumatology;theology-proper
Herman Bavinck,theo_aff4ec250119,109,0,5,work_d354c927fd56,Our Reasonable Faith (summary of Dogmatics),45,45,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Calvin,theo_a1d8cf894ef6,109,0,1,work_7a2188e9d341,Institutes of the Christian Religion,109,109,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Calvin,theo_a1d8cf894ef6,109,0,2,work_61bf1c401671,"Calvin: Commentaries (ed. Joseph Haroutunian, for selections on creation)",90,90,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Calvin,theo_a1d8cf894ef6,109,0,3,work_2bee6af8b9fb,Sermons on various biblical books,84,84,0,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
